institution,fiscal_year,study_level,gender,headcount
NOSMU,2019-2020,Undergraduate,Female,274
NOSMU,2019-2020,Undergraduate,Male,173
NOSMU,2020-2021,Undergraduate,Female,281
NOSMU,2020-2021,Undergraduate,Male,176
NOSMU,2021-2022,Undergraduate,Female,285
NOSMU,2021-2022,Undergraduate,Male,160
NOSMU,2021-2022,Graduate,N/A or Another,0
NOSMU,2022-2023,Undergraduate,Female,274
NOSMU,2022-2023,Undergraduate,Male,140
NOSMU,2022-2023,Undergraduate,N/A or Another,53
NOSMU,2023-2024,Undergraduate,Female,295
NOSMU,2023-2024,Undergraduate,Male,133
NOSMU,2023-2024,Undergraduate,N/A or Another,57
OCADU,2012-2013,Undergraduate,Female,2351
OCADU,2012-2013,Undergraduate,Male,1087
OCADU,2012-2013,Graduate,Female,84
OCADU,2012-2013,Graduate,Male,49
OCADU,2013-2014,Undergraduate,Female,2357
OCADU,2013-2014,Undergraduate,Male,1038
OCADU,2013-2014,Graduate,Female,99
OCADU,2013-2014,Graduate,Male,61
OCADU,2014-2015,Undergraduate,Female,2320
OCADU,2014-2015,Undergraduate,Male,1038
OCADU,2014-2015,Graduate,Female,108
OCADU,2014-2015,Graduate,Male,59
OCADU,2015-2016,Undergraduate,Female,2285
OCADU,2015-2016,Undergraduate,Male,1033
OCADU,2015-2016,Graduate,Female,109
OCADU,2015-2016,Graduate,Male,63
OCADU,2016-2017,Undergraduate,Female,2194
